id,name,description,price,priceRange,lat,lng,notes,category,googleMapsUrl,rating
1,Petronas Twin Towers,Iconic 88-story twin skyscrapers dominating Kuala Lumpur's skyline,RM98,2,3.1578,101.7117,Book observation deck tickets online in advance to skip lines.,Landmark,https://www.google.com/maps/search/Petronas+Twin+Towers+Kuala+Lumpur,4.7
2,Batu Caves,Ancient Hindu temple complex built inside massive limestone caves,Free,0,3.2379,101.6831,272 colorful steps to climb. Wear comfortable shoes and watch for monkeys.,Culture,https://www.google.com/maps/search/Batu+Caves+Malaysia,4.6
3,KL Tower,421m telecommunications tower with observation deck and revolving restaurant,RM52,2,3.1528,101.7036,Sky deck offers 360° views. Less crowded than Petronas - good alternative.,Landmark,https://www.google.com/maps/search/KL+Tower+Kuala+Lumpur,4.5
4,Jalan Alor,Vibrant night food street lined with outdoor hawker stalls,RM20-50,1,3.1456,101.7089,Opens after 6pm. Must-try: grilled chicken wings and satay skewers.,Food,https://www.google.com/maps/search/Jalan+Alor+Kuala+Lumpur,4.4
5,Central Market,1930s art deco building housing Malaysian arts and crafts market,Free,0,3.1456,101.6953,Excellent for souvenirs and local handicrafts. Air-conditioned shopping.,Shopping,https://www.google.com/maps/search/Central+Market+Kuala+Lumpur,4.3
6,Merdeka Square,Historic square where Malaysian independence was declared in 1957,Free,0,3.1481,101.6936,Best photos at sunrise. Surrounded by beautiful colonial-era buildings.,Landmark,https://www.google.com/maps/search/Merdeka+Square+Kuala+Lumpur,4.5
7,Islamic Arts Museum,Southeast Asia's largest museum dedicated to Islamic decorative arts,RM20,1,3.1422,101.6878,Stunning architecture throughout. Allow 2-3 hours to explore collections fully.,Attraction,https://www.google.com/maps/search/Islamic+Arts+Museum+Malaysia,4.7
8,Thean Hou Temple,Ornate six-tiered Chinese temple with traditional architecture,Free,0,3.1228,101.6861,Particularly stunning when lit up at night. Offers panoramic city views.,Culture,https://www.google.com/maps/search/Thean+Hou+Temple+Kuala+Lumpur,4.6
9,Bukit Bintang,KL's premier shopping and entertainment district with major malls,Free,0,3.1466,101.7108,Main shopping hub. Visit Pavilion KL and Lot 10 for varied retail options.,Shopping,https://www.google.com/maps/search/Bukit+Bintang+Kuala+Lumpur,4.5
10,Petaling Street,Historic Chinatown market street known for bargains and street food,RM10-30,1,3.1453,101.6983,Bargaining expected on goods. Best for street food dining after dark.,Food,https://www.google.com/maps/search/Petaling+Street+Kuala+Lumpur,4.3
11,KLCC Park,50-acre landscaped urban park at the base of Petronas Twin Towers,Free,0,3.1558,101.7117,Nightly fountain show with lights. Perfect for evening strolls with city views.,Attraction,https://www.google.com/maps/search/KLCC+Park+Kuala+Lumpur,4.6
12,Aquaria KLCC,Oceanarium featuring 90m underwater tunnel with marine exhibits,RM75,2,3.1530,101.7115,Great for families with kids. Daily feeding sessions are most popular.,Attraction,https://www.google.com/maps/search/Aquaria+KLCC+Kuala+Lumpur,4.4
